Time/s,Azimuth/deg,Zenith/deg
527,-75.56000000,41.58700000
528,-75.23000000,38.73000000
529,-77.30000000,46.74600000
530,-77.08000000,44.25400000
531,-76.79000000,41.59300000
532,-76.40000000,38.72600000
533,-78.64000000,46.76800000
534,-78.37000000,44.26900000
535,-78.02000000,41.60000000
536,-77.57000000,38.72400000
537,-79.97000000,46.78700000
538,-79.66000000,44.28300000
539,-79.26000000,41.60800000
540,-78.74000000,38.72400000
541,-81.30600000,46.80500000
542,-80.94100000,44.29700000
543,-80.48900000,41.61700000
544,-79.91000000,38.72700000
545,-82.63900000,46.82100000
546,-82.22700000,44.31000000
547,-81.72100000,41.62700000
548,-81.08700000,38.73300000
549,-83.97200000,46.83600000
550,-83.51200000,44.32200000
551,-82.95400000,41.63700000
552,-82.25900000,38.74000000
553,-85.30600000,46.84800000
554,-84.79800000,44.33400000
555,-84.18700000,41.64900000
556,-83.43200000,38.75000000
557,-86.63800000,46.85900000
558,-86.08300000,44.34600000
559,-85.42000000,41.66100000
560,-84.60600000,38.76300000
561,-87.97100000,46.86800000
562,-87.36900000,44.35700000
563,-86.65300000,41.67300000
564,-85.78100000,38.77700000
565,-89.30300000,46.87500000
566,-88.65400000,44.36700000
567,-87.88700000,41.68700000
568,-86.95600000,38.79500000
570,-89.93900000,44.37700000
571,-89.12100000,41.70100000
572,-88.13200000,38.81400000
576,-89.30900000,38.83600000
1140,88.83000000,49.03100000
1143,88.78000000,46.72900000
1144,87.50000000,49.03800000
1146,89.01000000,44.30900000
1147,87.48000000,46.74500000
1148,86.16000000,49.04300000
1149,89.61000000,41.75100000
1150,87.76000000,44.33700000
1151,86.19000000,46.76000000
1152,84.82000000,49.04700000
1153,88.41000000,41.79500000
1154,86.51000000,44.36600000
1155,84.90000000,46.77500000
1156,83.49000000,49.04900000
1157,87.21000000,41.84100000
1158,85.27000000,44.39600000
1159,83.60000000,46.79000000
1160,82.16000000,49.05000000
1161,86.01000000,41.88900000
1162,84.02000000,44.42600000
1163,82.31000000,46.80400000
1164,80.82000000,49.04900000
1165,84.80000000,41.93900000
1166,82.76000000,44.45700000
1167,81.02000000,46.81700000
1168,79.49000000,49.04600000
1169,83.59000000,41.99100000
1170,81.51000000,44.48900000
1171,79.73000000,46.83000000
1172,78.16000000,49.04200000
1173,82.38000000,42.04500000
1174,80.26000000,44.52100000
1175,78.44000000,46.84300000
1176,76.83000000,49.03600000
1177,81.17000000,42.10100000
1178,79.01000000,44.55400000
1179,77.14000000,46.85400000
1180,75.50000000,49.02800000
1181,79.96000000,42.15900000
1182,77.76000000,44.58700000
1183,75.85000000,46.86600000
1184,74.17000000,49.01900000
1185,78.74000000,42.21900000
1186,76.50000000,44.62200000
1187,74.56000000,46.87700000
1188,72.85000000,49.00800000
1189,77.52000000,42.28100000
1190,75.25000000,44.65600000
1191,73.27000000,46.88700000
1192,71.52000000,48.99600000
1193,76.30000000,42.34400000
1194,73.99000000,44.69200000
1195,71.98000000,46.89700000
1196,70.20000000,48.98200000
1197,75.08000000,42.41000000
1198,72.74000000,44.72800000
1199,70.69000000,46.90600000
1200,68.88000000,48.96700000
1201,73.85000000,42.47700000
1202,71.48000000,44.76500000
1203,69.40000000,46.91500000
1204,67.55000000,48.95000000
1205,72.63000000,42.54600000
1206,70.22000000,44.80200000
1207,68.12000000,46.92300000
1208,66.23000000,48.93200000
1209,71.40000000,42.61600000
1210,68.97000000,44.84000000
1211,66.83000000,46.93100000
1212,64.92000000,48.91200000
1213,70.17000000,42.68900000
1214,67.71000000,44.87800000
1215,65.54000000,46.93900000
1216,63.60000000,48.89100000
1217,68.94000000,42.76300000
1218,66.45000000,44.91700000
1219,64.25000000,46.94600000
1220,62.28000000,48.86800000
1221,67.70000000,42.83800000
1222,65.19000000,44.95700000
1223,62.97000000,46.95200000
1224,60.97000000,48.84400000
1225,66.46000000,42.91500000
1226,63.93000000,44.99700000
1227,61.68000000,46.95800000
1228,59.65000000,48.81900000
1229,65.22000000,42.99400000
1230,62.67000000,45.03700000
1231,60.39000000,46.96400000
1232,58.34000000,48.79200000
1233,63.98000000,43.07400000
1234,61.40000000,45.07800000
1235,59.11000000,46.96900000
1236,57.03000000,48.76400000
1237,62.74000000,43.15600000
1238,60.14000000,45.12000000
1239,57.82000000,46.97400000
1240,55.72000000,48.73500000
1241,61.49000000,43.23900000
1242,58.88000000,45.16200000
1243,56.54000000,46.97900000
1244,54.42000000,48.70400000
1245,60.24000000,43.32400000
1246,57.61000000,45.20500000
1247,55.26000000,46.98300000
1248,53.11000000,48.67200000
1249,58.99000000,43.41000000
1250,56.35000000,45.24800000
1251,53.97000000,46.98700000
1252,51.81000000,48.63900000
1253,57.74000000,43.49700000
1254,55.08000000,45.29200000
1255,52.69000000,46.99000000
1256,50.50000000,48.60500000
1257,56.48000000,43.58600000
1258,53.82000000,45.33600000
1259,51.41000000,46.99300000
1260,49.20000000,48.57000000
1261,55.22000000,43.67600000
1262,52.55000000,45.38000000
1263,50.13000000,46.99500000
1264,47.90000000,48.53300000
1265,53.96000000,43.76700000
1266,51.28000000,45.42500000
1267,48.84000000,46.99800000
1268,46.61000000,48.49600000
1269,52.70000000,43.85900000
1270,50.01000000,45.47100000
1271,47.56000000,47.00000000
1272,45.31000000,48.45700000
1273,51.43000000,43.95200000
1274,48.74000000,45.51600000
1275,46.28000000,47.00100000
1276,44.02000000,48.41700000
1277,50.17000000,44.04600000
1278,47.47000000,45.56300000
1279,45.00000000,47.00300000
1280,42.72000000,48.37600000
1281,48.90000000,44.14200000
1282,46.20000000,45.60900000
1283,43.73000000,47.00400000
1284,41.43000000,48.33400000
1285,47.63000000,44.23800000
1286,44.93000000,45.65600000
1287,42.45000000,47.00400000
1288,40.14000000,48.29200000
1289,46.35000000,44.33500000
1290,43.66000000,45.70300000
1291,41.17000000,47.00500000
1292,38.86000000,48.24800000
1293,45.07000000,44.43400000
1294,42.38000000,45.75100000
1295,39.89000000,47.00500000
1296,37.57000000,48.20300000
1297,43.80000000,44.53300000
1298,41.11000000,45.79900000
1299,38.62000000,47.00500000
1300,36.29000000,48.15800000
1301,42.52000000,44.63200000
1302,39.83000000,45.84700000
1303,37.34000000,47.00500000
1304,35.00000000,48.11100000
1305,41.23000000,44.73300000
1306,38.56000000,45.89600000
1307,36.06000000,47.00400000
1308,33.72000000,48.06400000
1309,39.95000000,44.83400000
1310,37.28000000,45.94500000
1311,34.79000000,47.00300000
1312,32.45000000,48.01600000
1313,38.66000000,44.93600000
1314,36.00000000,45.99400000
1315,33.51000000,47.00200000
1316,31.17000000,47.96800000
1317,37.37000000,45.03900000
1318,34.72000000,46.04300000
1319,32.24000000,47.00100000
1320,29.89000000,47.91800000
1321,36.08000000,45.14200000
1322,33.45000000,46.09300000
1323,30.97000000,47.00000000
1324,28.62000000,47.86800000
1325,34.78000000,45.24600000
1326,32.17000000,46.14300000
1327,29.69000000,46.99800000
1328,27.35000000,47.81800000
1329,33.49000000,45.35000000
1330,30.88000000,46.19300000
1331,28.42000000,46.99700000
1332,26.08000000,47.76700000
1333,32.19000000,45.45500000
1334,29.60000000,46.24300000
